file,sample_rate,peak,rms,dc,power_spectral_centroid_hz
baseline-source-60-60-matched.wav,48000,0.4357215166091919,0.09999999534539936,-4.5925378799438474e-08,2607.456790283712
baseline-source-60-60.wav,48000,0.20775890350341797,0.04768158345842679,-4.7349681456883746e-08,2607.4567870181086
Flute-Air-45-100-source-matched.wav,48000,0.5527341365814209,0.10000000193622773,-4.680951436360677e-08,2816.401025077194
Flute-Air-45-100-source.wav,48000,0.24942195415496826,0.04512512957117306,-4.824002583821615e-08,2816.401030624717
Flute-Air-45-100-synth-matched.wav,48000,0.45340073108673096,0.09999999867721146,6.975949137531063e-06,1900.8771290615987
Flute-Air-45-100-synth.wav,48000,0.23045694828033447,0.05082853584080767,3.5170876876787937e-06,1900.8771337584503
Flute-Air-45-20-source-matched.wav,48000,0.5527392625808716,0.09999999852881933,-4.653260111808777e-08,2816.411081029554
Flute-Air-45-20-source.wav,48000,0.17459750175476074,0.03158769081965342,-4.8708170652389524e-08,2816.411049841199
Flute-Air-45-20-synth-matched.wav,48000,0.4750932455062866,0.10000000354587565,3.5619496942517606e-07,1663.587065378964
Flute-Air-45-20-synth.wav,48000,0.0742034912109375,0.0156187049629028,5.544589317225395e-09,1663.5870677817454
Flute-Air-45-60-source-matched.wav,48000,0.552735447883606,0.1000000038166418,-4.6405941247940066e-08,2816.4053583079203
Flute-Air-45-60-source.wav,48000,0.2120070457458496,0.038355982378056895,-4.845236738522848e-08,2816.405372166578
Flute-Air-45-60-synth-matched.wav,48000,0.47053539752960205,0.09999999806381706,2.1103212233395018e-06,1765.0581669348157
Flute-Air-45-60-synth.wav,48000,0.142767071723938,0.030341411786401356,5.992813075476504e-07,1765.0581768730922
Flute-Air-60-100-source-matched.wav,48000,0.5326838493347168,0.10000000487099879,-4.616876443227132e-08,3215.5411676684944
Flute-Air-60-100-source.wav,48000,0.26012134552001953,0.048832229555651925,-4.754091302553813e-08,3215.5411679160293
Flute-Air-60-100-synth-matched.wav,48000,0.4900848865509033,0.1000000005547534,1.0632778557532645e-05,2241.802969740434
Flute-Air-60-100-synth.wav,48000,0.2682708501815796,0.05473967315245481,5.794094598039668e-06,2241.802970417708
Flute-Air-60-20-source-matched.wav,48000,0.5326881408691406,0.10000000295195621,-4.597132404645284e-08,3215.5497150545234
Flute-Air-60-20-source.wav,48000,0.18208718299865723,0.034182705605879264,-4.8213948806126915e-08,3215.549711295563
Flute-Air-60-20-synth-matched.wav,48000,0.49295365810394287,0.10000000088742589,7.706223689812295e-07,1870.965047239444
Flute-Air-60-20-synth.wav,48000,0.08720743656158447,0.017690797142249998,8.765330657045892e-08,1870.9650668402123
Flute-Air-60-60-source-matched.wav,48000,0.5326848030090332,0.10000000010824876,-4.6209742625554404e-08,3215.544843521202
Flute-Air-60-60-source.wav,48000,0.2211015224456787,0.041507004612787286,-4.7912200291951495e-08,3215.544851489301
Flute-Air-60-60-synth-matched.wav,48000,0.4965933561325073,0.09999999996199395,3.5602208028765437e-06,2032.8185889519139
Flute-Air-60-60-synth.wav,48000,0.16652822494506836,0.03353411306915864,1.1550728231668472e-06,2032.8185730649493
Flute-Air-81-100-source-matched.wav,48000,0.5032153129577637,0.10000000016314217,-4.552304744720459e-08,3803.501065781857
Flute-Air-81-100-source.wav,48000,0.267719030380249,0.05320167760550817,-4.6840558449427285e-08,3803.5010738953074
Flute-Air-81-100-synth-matched.wav,48000,0.4572991132736206,0.09999999780839101,2.545223229544911e-05,2330.3283842812066
Flute-Air-81-100-synth.wav,48000,0.3258575201034546,0.071256976219455,1.8119997780849324e-05,2330.328377978787
Flute-Air-81-20-source-matched.wav,48000,0.5032190084457397,0.09999999914024268,-4.5438607533772785e-08,3803.5075661382507
Flute-Air-81-20-source.wav,48000,0.18740558624267578,0.03724137243967286,-4.7446539004643755e-08,3803.5075786657467
Flute-Air-81-20-synth-matched.wav,48000,0.48751628398895264,0.09999999908640118,3.0261011140302142e-06,1853.9772198969845
Flute-Air-81-20-synth.wav,48000,0.12928712368011475,0.026519533584332747,7.591604136247584e-07,1853.9772604271889
Flute-Air-81-60-source-matched.wav,48000,0.5032161474227905,0.10000000117960349,-4.570310314496358e-08,3803.5038607183196
Flute-Air-81-60-source.wav,48000,0.22755944728851318,0.04522102209048404,-4.728386799494425e-08,3803.503854645905
Flute-Air-81-60-synth-matched.wav,48000,0.46654069423675537,0.0999999993656259,1.160779527012021e-05,2063.263289267495
Flute-Air-81-60-synth.wav,48000,0.21851694583892822,0.04683769623203343,5.406030315033933e-06,2063.263279960242
Focused-Jet-45-100-source-matched.wav,48000,0.5756604671478271,0.09999999728565279,-4.635875423749288e-08,2956.3980735846594
Focused-Jet-45-100-source.wav,48000,0.2325301170349121,0.04039363213375183,-4.79544202486674e-08,2956.3980520610316
Focused-Jet-45-100-synth-matched.wav,48000,0.4848276376724243,0.09999999776131394,4.53469754652457e-06,2146.4512439397545
Focused-Jet-45-100-synth.wav,48000,0.20975899696350098,0.0432646395524472,1.9286736905416275e-06,2146.4512657405653
Focused-Jet-45-20-source-matched.wav,48000,0.5756672620773315,0.0999999994059796,-4.626313845316569e-08,2956.41162873593
Focused-Jet-45-20-source.wav,48000,0.16277313232421875,0.028275551583209862,-4.875908295313517e-08,2956.4116086823256
Focused-Jet-45-20-synth-matched.wav,48000,0.5157784223556519,0.09999999809688069,1.921484425188379e-07,1923.5447028893911
Focused-Jet-45-20-synth.wav,48000,0.06625747680664062,0.012846105556954125,-2.703931618561136e-08,1923.5447113216358
Focused-Jet-45-60-source-matched.wav,48000,0.5756628513336182,0.09999999896246371,-4.644195238749186e-08,2956.403901503818
Focused-Jet-45-60-source.wav,48000,0.19764912128448486,0.034334182871409866,-4.8379103342692056e-08,2956.4039225597367
Focused-Jet-45-60-synth-matched.wav,48000,0.510567307472229,0.10000000137502202,1.239602731421907e-06,2020.2289882477571
Focused-Jet-45-60-synth.wav,48000,0.12934041023254395,0.02533267742113666,2.698717698296334e-07,2020.2289809285662
Focused-Jet-60-100-source-matched.wav,48000,0.5496362447738647,0.10000000307520913,-4.598746697107951e-08,3312.8389332838883
Focused-Jet-60-100-source.wav,48000,0.24057447910308838,0.04376977740071579,-4.782030979792277e-08,3312.8389316792523
Focused-Jet-60-100-synth-matched.wav,48000,0.464938759803772,0.09999999833715359,7.468673271780953e-06,2480.8671897528375
Focused-Jet-60-100-synth.wav,48000,0.22243595123291016,0.0478419957035987,3.542769650750338e-06,2480.867189182455
Focused-Jet-60-20-source-matched.wav,48000,0.5496420860290527,0.0999999986838266,-4.6014785766601564e-08,3312.8501155599633
Focused-Jet-60-20-source.wav,48000,0.168404221534729,0.030638895670297057,-4.828348755836487e-08,3312.8501331697225
Focused-Jet-60-20-synth-matched.wav,48000,0.4755082130432129,0.09999999964161463,4.562886154398005e-07,2161.1542096389157
Focused-Jet-60-20-synth.wav,48000,0.07034170627593994,0.014792941598927117,1.6960721621488004e-08,2161.1542264500554
Focused-Jet-60-60-source-matched.wav,48000,0.5496382713317871,0.10000000144866246,-4.616379737854004e-08,3312.84374553212
Focused-Jet-60-60-source.wav,48000,0.20448684692382812,0.03720389357458487,-4.7997881968816124e-08,3312.8437363996527
Focused-Jet-60-60-synth-matched.wav,48000,0.46978986263275146,0.10000000175750498,2.2107083845804346e-06,2300.8870447688805
Focused-Jet-60-60-synth.wav,48000,0.13455963134765625,0.02864250027343582,5.909291274370032e-07,2300.887058980182
Focused-Jet-81-100-source-matched.wav,48000,0.5252710580825806,0.10000000470670968,-4.541873931884766e-08,3835.242251785271
Focused-Jet-81-100-source.wav,48000,0.24977314472198486,0.047551304761642044,-4.711002111434937e-08,3835.242251572511
Focused-Jet-81-100-synth-matched.wav,48000,0.47097647190093994,0.10000000060352461,1.780922336384971e-05,2521.345279846236
Focused-Jet-81-100-synth.wav,48000,0.29235243797302246,0.062073676344667164,1.1033057780104114e-05,2521.3452908866484
Focused-Jet-81-20-source-matched.wav,48000,0.5252758264541626,0.1000000030482716,-4.560376207033793e-08,3835.2504656521137
Focused-Jet-81-20-source.wav,48000,0.174843430519104,0.0332860147688912,-4.7658880551656086e-08,3835.2504557178722
Focused-Jet-81-20-synth-matched.wav,48000,0.49268829822540283,0.10000000034053715,1.6521365243069668e-06,2081.7282776924103
Focused-Jet-81-20-synth.wav,48000,0.10847115516662598,0.022016165241653687,3.177122747961511e-07,2081.728279380646
Focused-Jet-81-60-source-matched.wav,48000,0.5252726078033447,0.10000000215185396,-4.563977320988973e-08,3835.2457839091812
Focused-Jet-81-60-source.wav,48000,0.21230566501617432,0.04041818042547331,-4.7147274017333987e-08,3835.2457888377457
Focused-Jet-81-60-synth-matched.wav,48000,0.4852914810180664,0.09999999579861162,7.326802625221775e-06,2275.114661191329
Focused-Jet-81-60-synth.wav,48000,0.1936410665512085,0.039902014182518514,2.888570034361266e-06,2275.1146612827947
Rough-Air-45-100-source-matched.wav,48000,0.6096501350402832,0.09999999820766355,-4.638234774271647e-08,1997.954108593274
Rough-Air-45-100-source.wav,48000,0.3142669200897217,0.051548730146097774,-4.785135388374329e-08,1997.9541082956139
Rough-Air-45-100-synth-matched.wav,48000,0.4954875707626343,0.10000000130779411,1.4224931835494142e-05,1399.9167583155963
Rough-Air-45-100-synth.wav,48000,0.33069491386413574,0.06674131238155084,9.474955112772418e-06,1399.9167621871245
Rough-Air-45-20-source-matched.wav,48000,0.6096640825271606,0.10000000001362733,-4.6820690234502157e-08,1997.9687384113176
Rough-Air-45-20-source.wav,48000,0.21998965740203857,0.03608375613868633,-4.86100713411967e-08,1997.9687370399017
Rough-Air-45-20-synth-matched.wav,48000,0.52567458152771,0.09999999570987994,1.3434835907785183e-06,1217.3831550517539
Rough-Air-45-20-synth.wav,48000,0.11979329586029053,0.022788488705110493,2.606179902052626e-07,1217.3831556992593
Rough-Air-45-60-source-matched.wav,48000,0.6096547842025757,0.09999999607973419,-4.7116229931513466e-08,1997.9604267730713
Rough-Air-45-60-source.wav,48000,0.2671247720718384,0.04381574053665958,-4.840145508448283e-08,1997.9604313551833
Rough-Air-45-60-synth-matched.wav,48000,0.5187877416610718,0.09999999783941176,5.860295285411337e-06,1301.351905227215
Rough-Air-45-60-synth.wav,48000,0.21780097484588623,0.04198267499447679,2.4263021298386947e-06,1301.351897699239
Rough-Air-60-100-source-matched.wav,48000,0.6377240419387817,0.09999999735425812,-4.647796352704366e-08,2174.0382496601637
Rough-Air-60-100-source.wav,48000,0.34061574935913086,0.053411149900879355,-4.751607775688172e-08,2174.03825770674
Rough-Air-60-100-synth-matched.wav,48000,0.55757737159729,0.0999999999257862,1.4646999300160307e-05,1534.309257253393
Rough-Air-60-100-synth.wav,48000,0.37629687786102295,0.06748781599605307,9.866544055415596e-06,1534.3092550190245
Rough-Air-60-20-source-matched.wav,48000,0.637737512588501,0.09999999904185772,-4.614392916361491e-08,2174.04853174266
Rough-Air-60-20-source.wav,48000,0.2384340763092041,0.03738750312599879,-4.79904313882192e-08,2174.0485358685096
Rough-Air-60-20-synth-matched.wav,48000,0.5270334482192993,0.099999995155683,7.342884039625209e-07,1266.546983757328
Rough-Air-60-20-synth.wav,48000,0.1295185089111328,0.024575020574157988,1.3605607277218333e-07,1266.5469691717715
Rough-Air-60-60-source-matched.wav,48000,0.6377284526824951,0.09999999983060077,-4.6158830324808755e-08,2174.042698772074
Rough-Air-60-60-source.wav,48000,0.28952109813690186,0.045398806127501024,-4.772841930389404e-08,2174.0426989039506
Rough-Air-60-60-synth-matched.wav,48000,0.5363161563873291,0.10000000268064226,5.077649938299301e-06,1396.7211499623313
Rough-Air-60-60-synth.wav,48000,0.23391199111938477,0.04361458751235667,2.181624369497629e-06,1396.7211321938598
